Membership No  Date Joined  Active  
    14670      2015-1-9     yes   
    56281      2015-11-13   yes   
    65411      2017-12-9    yes   
    40245      2016-9-4     no    
    87184      2017-10-19   yes   
    67153      2018-4-22    no    
    48246      2019-12-19   no    
    18735      2019-4-9     yes   
    47416      2017-9-7     no    
    83610      2018-12-14   yes   
    43685      2019-1-7     no    
    94686      2020-10-21   yes   
    30493      2020-1-13    no    
    67723      2016-9-2     no    
    95987      2017-2-25    yes   
    64306      2017-8-22    no    
    57432      2017-3-18    no    
    20282      2016-7-18    no    
    81971      2019-1-24    no    
    25947      2019-6-3     no    
